fips,population_v051,area,land_area_km2,pop_km2
05119,392680,1965579500,1965.5794999999998,199.7782333403457
05121,17948,1689251367,1689.2513669999998,10.624824908015007
05123,25439,1644132566,1644.132566,15.472596630021377
05125,121421,1873977181,1873.977181,64.7932115882045
05131,127753,1377601669,1377.601669,92.73580518578771
05133,17139,1463680826,1463.680826,11.709520064451537
05137,12457,1570579417,1570.579417,7.931467753343161
05139,39126,2691555887,2691.555887,14.536573507158241
05143,236961,2439803798,2439.803798,97.12297365642515
05145,78727,2680852090,2680.85209,29.366409394111706
05147,6490,1519723271,1519.7232709999998,4.270514325762404
05149,21535,2409045644,2409.045644,8.939224565393914
20039,2871,2314199316,2314.1993159999997,1.2406018704397543
06001,1666753,1909598013,1909.5980129999998,872.8292492206317
06003,1101,1912292630,1912.29263,0.5757487022266043
06005,39383,1539933577,1539.933577,25.574479697185016
06007,231256,4238438186,4238.438185999999,54.56160733070557
06009,45602,2641829200,2641.8291999999997,17.261524704170885
06011,21627,2980332864,2980.332864,7.256571996113787
06013,1150215,1857233047,1857.233047,619.3164621197913
06015,27828,2606117983,2606.117983,10.677950952921227
06017,190678,4423290468,4423.290468,43.10772746656528
06019,994400,15431404077,15431.404077,64.4400208197594
06021,28047,3403160290,3403.16029,8.241457236796801
06023,136373,9241527430,9241.52743,14.756543334741798
06025,181827,10817292933,10817.292932999999,16.808918934357937
06027,17987,26368508430,26368.508429999998,0.6821394561527727
06029,896764,21062456129,21062.456129,42.576421026476766
06035,30802,11761615592,11761.615592,2.6188579076628606
06031,151366,3600883824,3600.883824,42.03579104417116
06033,64382,3254364315,3254.364315,19.783279856914238
06037,10105518,10510671776,10510.671776,961.4531036041745
06043,17471,3752472149,3752.4721489999997,4.6558640027896985
06039,157672,5534617472,5534.617472,28.488328379996123
06041,259666,1347976788,1347.976788,192.6338808736223
06045,87606,9081426659,9081.426658999999,9.646722182486549
06047,274765,5013300944,5013.300944,54.80720249376675
06049,8777,10140960152,10140.960152,0.8654999002504709
06051,14250,7896838487,7896.838487,1.8045196218029222
08015,20027,2624715692,2624.7156919999998,7.630159739221006
06053,435594,8499616962,8499.616962,51.2486623747222
06055,139417,1938114186,1938.114186,71.93435815447873
06057,99696,2480587324,2480.587324,40.19048192153061
06059,3185968,2053294769,2053.294769,1551.6369340149038
06061,393149,3644325262,3644.325262,107.87977793843804
06063,18804,6612400908,6612.400908,2.843747719115158
06065,2450758,18664901451,18664.901450999998,131.30302382971848
06093,43724,16261933260,16261.93326,2.688733209079718
06067,1540975,2500490904,2500.490904,616.2689884354005
06069,61537,3596590995,3596.590995,17.10981317740857
06071,2171603,51954895600,51954.895599999996,41.797851288531895
06101,96807,1560546527,1560.546527,62.03403636167267
06073,3343364,10900649391,10900.649390999999,306.7123691511821
06103,63916,7638228750,7638.228749999999,8.36790859399177
06075,883305,121375681,121.375681,7277.446295028409
06089,180040,9778230074,9778.230074,18.412330108566437
06077,752660,3606263159,3606.2631589999996,208.70911711521052
06079,284010,8548611925,8548.611925,33.22293753555786
06081,769545,1161960635,1161.960635,662.2814722118362
06083,446527,7083976828,7083.976828,63.03337953267512
06085,1937570,3343896477,3343.896477,579.4348040757244
06087,274255,1152866293,1152.866293,237.88968561682114
06095,446610,2128327622,2128.327622,209.84081369029005
06105,12535,8234265085,8234.2650849999991,1.5222973599470901
06097,499942,4081491107,4081.491107,122.49003780568572
06099,549815,3874662824,3874.662824,141.90008911082478
06107,465861,12495083015,12495.083015,37.2835458108399
06109,54539,5752079372,5752.079372,9.481614642782088
06111,850967,4771968316,4771.9683159999995,178.32620496384706
06113,220408,2628144763,2628.144763,83.86448231580918
06115,78041,1636913845,1636.913845,47.67569181382298
08000,5695564,NA,NA,NA
08001,511868,3020592854,3020.592854,169.45944877084716
08003,16683,1871465869,1871.4658689999999,8.914402488630158
08005,651215,2066632437,2066.6324369999998,315.10925133127586
08007,13765,3496708790,3496.7087899999997,3.9365588691187523
08013,326078,1881290197,1881.2901969999998,173.3267948347259
08014,69267,85478796,85.478796,810.3413155234427
08019,9605,1023561805,1023.5618049999999,9.383898415396617
08021,8200,3334445557,3334.445557,2.45917945272363
08023,3828,3179452300,3179.4523,1.2039809498006937
08025,5858,2039427875,2039.4278749999999,2.8723741946500563
08027,4954,1913031959,1913.031959,2.5896065022298984
08029,30953,2958095177,2958.0951769999997,10.463828290809591
08031,716492,397024697,397.024697,1804.6534772621462
08033,2074,2763958517,2763.958517,0.7503730563406281
08035,342776,2176237637,2176.2376369999997,157.50853407375385
08037,54993,4362761542,4362.761542,12.605089567831346
08039,26282,4793643993,4793.643993,5.4826766523293635
08041,713856,5508504028,5508.504027999999,129.59162712261525
08043,48021,3970664370,3970.66437,12.093945880396836
08045,59770,7634105497,7634.105497,7.829339013390373
08049,15525,4782260510,4782.26051,3.2463727075378417
08051,17246,8389338082,8389.338082,2.0557044943751497
08053,811,2893614469,2893.6144689999996,0.2802723060340075
08055,6889,4120756321,4120.756321,1.6717804847844582
08057,1399,4179530258,4179.530258,0.3347266112793865
08063,7163,5596501999,5596.501999,1.2799066276184492
08059,580233,1979501357,1979.5013569999999,293.12078920691545
08061,1383,4578603579,4578.603579,0.3020571613456995
08065,7824,976215870,976.21587,8.014620782593916
08067,56310,4376522013,4376.522013,12.866381074455251
48327,2139,2336237985,2336.2379849999998,0.9155745321040143
08069,350518,6723008226,6723.008226,52.13707736433164
08071,14503,12361852575,12361.852574999999,1.1732060313783512
08075,21528,4761947992,4761.947991999999,4.520838958377268
