fips,state,county,state_fips,county_fips,state_abb,metro_area,metro_state_county,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
06001,California,Alameda County,06,001,CA,San Francisco,"San Francisco, Alameda County, CA",3.965027013497796,-0.9741682831823177,-0.3727682293209139,-0.6303320138237966,0.5993577748873511,0.6592163405938586,-0.3151608811894661,-0.8810578967234962,-0.25377146389662875,-0.5948412580514881,0.14258603363180672,0.3663487359713067,-0.33732313992851887,0.22609151473490052,-0.0639418607923291,0.22021312249676114,-0.3100730591467121,0.6264871704105535,-0.016880911013279157,0.22176916684334902,-0.25057411773941285,7.099755455702993e-4,0.21937386014596258,1.8601361550724784e-15
06037,California,Los Angeles County,06,037,CA,Los Angeles,"Los Angeles, Los Angeles County, CA",1.0912296245049151,-4.329451595776384,-2.7177498586683924,-2.640581011148344,-1.0122153325683472,-0.2198839344428151,0.3960329812696848,0.819395975191668,-1.3141031808597499,0.3994496511199211,-0.3286552713602185,-0.2822480636424811,-0.29528493410681694,-0.19641062174530222,-0.31651550312267535,0.3207586322343962,0.26325194677433345,0.0694749793809368,0.31793900851601137,-0.1005594514233892,0.26921468026757084,-0.026356571750476867,0.07557106182044974,1.8150333446970814e-15
06059,California,Orange County,06,059,CA,Los Angeles,"Los Angeles, Orange County, CA",3.2528157915036493,-1.1368814099508535,-1.2227757829805324,-1.6828609746845422,0.6555412379921313,-0.10836896160767197,0.9986657369975518,-0.756938416207687,-0.1241313492667176,-0.48466032264353787,0.43758931323204764,0.031894161793171734,-0.4986901493582202,0.6385891094833719,-0.22224460360768197,0.390048553853872,0.267986390480395,-0.5333544684828176,-0.12041691896866336,0.1293122432576635,-0.2621673154525624,0.06236332340896813,-0.14892952510392282,1.7699305343216842e-15
06075,California,San Francisco County,06,075,CA,San Francisco,"San Francisco, San Francisco County, CA",5.773400398249251,-3.322405565484919,1.6694948362669202,1.7213987445776173,1.5880440057574547,2.8809860773531604,0.34459046471702276,0.7968429693382306,-0.815296917114092,0.8818912146539057,-0.43535518872378914,-0.14317687519101474,0.35043226098557884,-0.3560361578294174,0.023539952072916967,-0.20911931055548835,0.07531314859750649,-0.14674125768803278,-0.12351456840099909,0.13647776313608814,-0.02652353892579459,-0.02492232309261887,-0.03102925866557678,1.704878403972554e-15
06081,California,San Mateo County,06,081,CA,San Francisco,"San Francisco, San Mateo County, CA",5.306359633407972,-0.23417105112516667,-0.29524435720050307,0.2497341664011821,0.30709306732448394,-0.9075498181860486,-0.1413925872108464,0.23489284411995795,1.5759812445050063,-0.8124913775455215,0.16266846195950996,-0.2786809195528794,-0.7050486293574291,-0.779115748042035,-0.002344972486007102,-0.310693169135062,0.03519046974493221,-0.0873733104939501,0.07830215010536502,0.1599025741348451,0.07167134328579951,-0.27840964396701573,-0.02491557761220095,1.822839600338977e-15
06085,California,Santa Clara County,06,085,CA,San Francisco,"San Francisco, Santa Clara County, CA",5.41938960387314,0.044347825417248486,-1.6203725371682625,0.3549253687100198,0.24885570063281684,-0.01703797676970027,-0.5821192252334016,0.20789726979076614,0.39404681187503776,-0.7082168759088462,-1.0588453652911198,0.8360392937790293,-0.45724312720833193,-0.019664315062123225,0.3128008780578024,-0.24123581763674426,-0.25943993169451474,-0.111792749218002,-0.04393050687723202,-0.4106310444580404,0.08305397283771304,0.21102192309680398,-0.023380755495306528,1.552222738086595e-15
17031,Illinois,Cook County,17,031,IL,Chicago,"Chicago, Cook County, IL",-1.095213940933443,-2.1187401181570826,0.7717114973868898,-1.1888970793731044,-2.1310193035492717,-0.06541618772880106,-0.3592509496593267,0.8561819121691924,0.11147025371913172,-0.26521688768105395,0.2064565296466193,-1.3364016443171431,-0.09547364729095925,-0.04881577872163292,0.9743645723815305,-0.02501596732222078,-0.06434600946554679,0.029929992690699337,-0.2926262693025573,-0.013078972327448698,-0.11345410341058446,0.09290187620826797,0.02289852783086535,2.0327411409321707e-15
17043,Illinois,DuPage County,17,043,IL,Chicago,"Chicago, DuPage County, IL",2.6097991279167974,2.821975148229865,1.6773139323158557,-0.280005565907462,-0.49765062262544923,0.09396131364521886,1.070921777636619,-0.9777371225682221,-0.9409773611078415,-1.024408028271265,0.9072916670899234,-0.26473928421327525,0.5821219023051503,0.08405117328024743,-0.17293123545350858,-0.391824829791833,-0.27366514589188706,-0.38833222599904366,-0.006137719628547875,-0.10639896531242982,0.2232653585907565,0.0063459253523989135,0.15260852447122056,2.093456462591359e-15
17089,Illinois,Kane County,17,089,IL,Chicago,"Chicago, Kane County, IL",-0.29829394524410074,1.8472252405522973,-1.8972351087345423,-0.9041900354357304,-1.6329691751148572,-0.7329625322763664,0.552615099284502,0.8500789061205092,-0.3335929906321265,0.42297906942936686,-0.2868606268027835,0.9181742192644252,0.36738632844722363,0.21963063208888606,-0.022474263209509057,-0.11578307721243039,-0.1885782981357632,0.11109893717433855,-0.529081798912668,0.31211932119584335,0.17628551882229815,-0.09370994476453476,-0.06059776672615313,1.664112402287099e-15
17097,Illinois,Lake County,17,097,IL,Chicago,"Chicago, Lake County, IL",1.330580604810241,1.9288502602623192,0.22035988335247295,-0.09911119471219684,-1.8373119260026232,-0.5606868588843118,-0.26006132930989667,0.41504121787539855,-0.49025585257407744,-0.028216347851247794,-0.5438084604000921,-0.21017581963003587,0.3523239009943709,0.4261966122088261,-0.3119863729979067,-0.8615273787769032,0.13495612007192806,0.16849396175104706,0.4019362978631857,0.0998767461587608,-0.2792942891424259,0.026108233132347017,-0.09214836869091204,1.7560527465138697e-15
