state,county,fips,date,cumulative_cases,cumulative_deaths,week_day,daily_cases,daily_cases_rollavg7,daily_deaths,daily_deaths_rollavg7,first_case,first_death,time_since_first_case,time_since_first_death,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,premature_death_v001,poor_or_fair_health_v002,low_birthweight_v037,adult_smoking_v009,adult_obesity_v011,primary_care_physicians_v004,ratio_population_to_pcp_v004,preventable_hospital_stays_v005,flu_vaccination_v155,education_high_school_v021,education_some_college_v069,unemployment_v023,income_inequality_v044,social_association_v140,air_pollution_parti_matter_v125,drinking_water_violation_v124,severe_housing_problem_v136,high_housing_cost_household_pct_v136,life_expectancy_v147,disease_diabetes_prevalence_v060,uninsured_adult_v003,median_household_income_v063,children_eligible_free_lunch_v065,resid_segregat_black_white_v141,resid_segregat_nonwhite_white_v142,home_ownership_v153,severe_housing_cost_burden_v154,population_v051,age_below_18_pct_v052,age_above_65_pct_v053,not_proficient_english_pct_v059,gender_female_pct_v057,cancer_age_adjusted_rate,copd_prevalence,hypertension_prevalence,ami_prevalence,land_area_km2,pop_km2,metro_area,metro_state_county,PC1,PC2,PC3,PC4
Arizona,Maricopa County,04013,2020-01-06,NA,NA,Mon,NA,NA,NA,NA,2020-01-26,2020-03-20,-20,-74,3.4819277108433737,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-07,NA,NA,Tue,NA,NA,NA,NA,2020-01-26,2020-03-20,-19,-73,3.4814814814814814,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-08,NA,NA,Wed,NA,NA,NA,NA,2020-01-26,2020-03-20,-18,-72,3.481012658227848,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-09,NA,NA,Thu,NA,NA,NA,NA,2020-01-26,2020-03-20,-17,-71,3.4805194805194803,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-10,NA,NA,Fri,NA,NA,NA,NA,2020-01-26,2020-03-20,-16,-70,3.4799999999999995,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-11,NA,NA,Sat,NA,NA,NA,NA,2020-01-26,2020-03-20,-15,-69,3.4794520547945207,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-12,NA,NA,Sun,NA,NA,NA,NA,2020-01-26,2020-03-20,-14,-68,3.47887323943662,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-13,NA,NA,Mon,NA,NA,NA,NA,2020-01-26,2020-03-20,-13,-67,3.478260869565217,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-14,NA,NA,Tue,NA,NA,NA,NA,2020-01-26,2020-03-20,-12,-66,3.477611940298508,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-15,NA,NA,Wed,NA,NA,NA,NA,2020-01-26,2020-03-20,-11,-65,3.476923076923077,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
