fips,state,county,state_fips,county_fips,state_abb,metro_area,metro_state_county,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
18089,Indiana,Lake County,18,089,IN,Chicago,"Chicago, Lake County, IN",5.595409218766027,-1.754817484460064,-1.9049025774473018,-1.7879610685775027,1.4838330260109933,-0.4366727698575021,-0.2859904557288295,-1.6402988169489259,-0.3285754263810448,-0.35607069238429156,-0.5993612145344949,-0.5564166631639006,-0.7259219469453866,0.43174057259492443,-0.2509358322879815,-0.1228219522883882,-0.3023034640394826,-0.9962027387684298,-0.21709725245348171,-0.20570341062214942,-0.07764623063669689,-0.3916084006508776,0.23013381253398155
22051,Louisiana,Jefferson Parish,22,051,LA,New Orleans,"New Orleans, Jefferson Parish, LA",3.7829500524322532,0.3806971437154893,-1.4927961372434582,0.746040894565444,-2.0941259698042343,0.42022709427764426,-0.11507854458701271,-1.1921330284159275,-0.40273466937954855,0.9700539368867358,0.9524561553059897,-1.1495472557267663,1.000582288921599,-0.7333138233229256,-0.325759643020985,-0.7846187094084632,-0.8370574286753077,0.06205855401227486,0.02974279325409625,-0.25519215981217114,-0.14406930582458494,0.2994933700610955,0.1268784142723034
22071,Louisiana,Orleans Parish,22,071,LA,New Orleans,"New Orleans, Orleans Parish, LA",4.442172846764269,5.325107066503569,-3.5350102249946054,-2.80675334876469,-2.7987203201163067,1.0616856572260496,-0.8867752229830962,1.0343740047521675,0.4713530644350425,1.5328268518885104,0.1679645423761845,0.3693129634958653,-0.8171386126159905,0.3690130736489009,0.15056129009390964,-0.3972485838683351,0.5028379919091758,0.01347168871186689,0.09013442075482325,0.18727205958252846,0.04283215881911313,0.021430375293842795,0.036226574768221845
22103,Louisiana,St. Tammany Parish,22,103,LA,New Orleans,"New Orleans, St. Tammany Parish, LA",2.0442138617503756,-2.8097792643719393,-1.0917089758087692,0.6670287322047381,-1.4403863690363061,-0.5427538544454226,0.2016530360469457,0.25999817523516555,0.21306251600966009,0.4661181194537308,-0.16448706164520457,1.015651026140689,0.6605234859772527,-0.8171874480491738,-0.589614958202239,0.457903450022826,0.5107270904371792,-0.05566394470855524,-0.39598526824944363,0.39355119404574457,0.23951297719852235,0.19121011323542286,0.08728083730694133
26099,Michigan,Macomb County,26,099,MI,Detroit,"Detroit, Macomb County, MI",3.050903354886468,-3.339831860349207,-0.9754536203633578,2.2935464842617983,2.3134942889924743,4.422177398775774,1.2867834013469652,1.693976703991535,0.07591831884952714,-0.14512428458128068,-0.07624372478915985,0.30484033745575573,-0.334033884762325,-0.1898897276675975,-0.07750565172911492,-0.3513464287862112,-0.18835412421151707,-0.06799208324513784,0.010378641816799183,-0.04172372066594117,0.009888546417369646,-0.02436258942507105,0.012787698093483978
26125,Michigan,Oakland County,26,125,MI,Detroit,"Detroit, Oakland County, MI",-1.566898583406357,-2.0264331210510385,-3.9024272646955285,-0.21668606364858486,0.9935167146157736,-1.2779652072956458,1.342701330720503,0.4697934476781375,0.2736485868905362,-0.23631747427202818,-0.4084475446858764,-0.35444957702797913,0.60068682588285,-0.38916165873120423,-0.13519438585953528,-0.009544929940263517,0.26651592978493677,-0.4243797008163316,0.4813988783811854,-0.04735416565782512,0.07766565190547958,0.2480962003746079,-0.2449670031344221
26163,Michigan,Wayne County,26,163,MI,Detroit,"Detroit, Wayne County, MI",6.560968183289661,0.8648028073409036,-2.813146595849512,-1.942422116267129,1.7395517330982657,-0.057245814319228046,-0.27118639932822575,0.2370098698271253,0.6120060662055565,-0.5622385558138504,0.3275787149157537,-0.37472595147727494,1.152839851068226,0.4186582812041615,0.5455855505413941,0.5756608694616109,-0.09627707410097475,0.3649976312695924,-0.4916705823232669,-0.24406647277849486,-0.14514601855916162,0.009840683291145434,-0.4577218864886866
48113,Texas,Dallas County,48,113,TX,Dallas,"Dallas, Dallas County, TX",1.1342009307207883,0.7151323590608777,2.960230638847276,-1.092640783845019,-0.8830484518912889,-0.2644186023130642,1.121227877432785,0.5358527815496302,-0.26511931480270146,-1.741136355345543,1.3129971955228887,-0.698755252202738,-0.10071822362132118,0.07630903643224217,0.5100422858394845,-0.7469465625366314,0.218572505750904,0.13780296721905766,-0.16098471925791108,0.5664283451708957,-0.10143259917593786,-0.17291681180283758,-0.10504522556196917
48141,Texas,El Paso County,48,141,TX,El Paso,"El Paso, El Paso County, TX",1.4453573435543228,0.8051276332489608,5.605564132316907,-0.012943583765115889,-0.789765327051495,-0.009504080398706378,1.3993436111174176,-0.4961574054108468,0.7137549381528658,0.962796509226124,-1.9095297589722833,-0.8597171965988963,-0.45017666548521135,-0.4139710872412355,-0.7156820524454546,-0.06573336011631835,0.22262822178676298,0.08957080837059551,-0.27310070554547694,-0.3381291148539091,-0.17514446463248468,0.021421095083865232,-0.3047402733322046
48167,Texas,Galveston County,48,167,TX,Houston,"Houston, Galveston County, TX",2.203366786293715,-1.8065944642179246,1.0993354751133875,-0.9354548468432377,-1.2873893781297832,-0.2438434844487036,1.3017291985656079,0.2533839504627722,-0.899773129895088,0.8414619042580075,-1.1998657021476438,0.8245030388820505,0.07782875797739261,0.964572623802206,1.1127524472687482,0.579273273850276,-0.752188905347356,0.15831227010424914,0.07640970817328391,0.05222543989998695,0.11060171472566128,0.002072886537177086,0.0718311951565097
48201,Texas,Harris County,48,201,TX,Houston,"Houston, Harris County, TX",0.9267214383946423,0.4485456044913272,3.852352250830828,-1.5000603397585142,-0.1340207589938865,0.15437033145290574,0.776537037382424,0.3017195059847926,-0.32364412677224663,-0.32891357936059334,-0.08839687254061075,-0.4695093490818097,0.6532028442436414,0.044872624004967165,0.2424121975557352,-0.24612400746263974,0.13891773462497925,0.3432736354392369,0.2655054427178942,-0.28038781365597615,0.3838761818423019,-0.06516579057849617,0.34406489876738566
48439,Texas,Tarrant County,48,439,TX,Dallas,"Dallas, Tarrant County, TX",1.2587664702677785,-1.65149157491893,2.415360165580848,-0.6046804847514955,-0.4260568827206694,-0.6538737901835954,0.9601605001577909,0.676722379661579,0.016364565230086007,-0.48256641283835394,0.5932060825663679,-0.25529414428467545,-0.24394025717418757,0.8185815477136351,-0.381294709572627,-0.10868845104106216,0.026090492515516768,-0.14096470449335075,-0.01681822964473831,0.05452426063214588,0.30850588583050625,0.32757255448523354,0.04897107465777732
53033,Washington,King County,53,033,WA,Seattle,"Seattle, King County, WA",-5.404407704649305,-0.9716849625217427,-1.5557679410509588,-0.7759055883313687,-1.7265497290884593,0.10829806149834255,-0.26952649346845403,0.12600794149475206,1.2626098416743308,-1.0464421350337785,-0.12214718257215704,-0.14781453803414701,-0.49390740816671075,-0.6110272078157719,0.42643591355680704,-0.12586156793413883,-0.4774670875446971,-0.229985919057861,0.3475604811926108,-0.46879332690405107,0.3822542863559584,0.09665912339683343,-0.15725635534392035
53061,Washington,Snohomish County,53,061,WA,Seattle,"Seattle, Snohomish County, WA",-2.621636174804273,-3.0896625898307684,0.8725753387997539,-0.0747379044614435,-1.1706434441624252,0.7882881591692096,-2.075677435232927,-0.5572975945782976,2.0510126711054206,-0.4843145233101835,0.004853410121868264,-0.4747675494680706,-0.6842347442173828,-0.06917612775145761,0.2896390727101782,0.26140394318924587,-0.4757013056861202,0.3625579575534802,-0.3302960267701246,0.1035284033160193,-0.026314618803408504,-0.04120964647801655,0.11175113097523774
